ind,competition,turn,gender,nation,age,rotation,jump type,minor_error,original_rotation,rejudge_rotation,original_edge,rejudge_edge
1,wc2022,1,male,esp,23,3,A,weak_landing,1,1,0,0
2,wc2022,1,male,esp,23,3,Lo,none,0,0,0,0
3,wc2022,1,male,esp,23,3,F,none,0,0,0,0
4,wc2022,1,male,esp,23,3,S,none,1,1,0,0
5,wc2022,1,male,esp,23,2,A,none,0,0,0,0
6,wc2022,1,male,esp,23,3,Lz,none,0,0,0,1
7,wc2022,1,male,esp,23,3,T,none,2,2,0,0
8,wc2022,1,male,esp,23,3,F,none,0,0,0,0
9,wc2022,1,male,esp,23,2,A,none,0,0,0,0
10,wc2022,1,male,esp,23,3,Lz,none,0,0,0,1
11,wc2022,2,male,ger,20,3,A,none,1,1,0,0
12,wc2022,2,male,ger,20,2,T,weak_landing,0,0,0,0
13,wc2022,2,male,ger,20,3,Lz,none,0,0,0,0
14,wc2022,2,male,ger,20,3,T,weak_landing,0,1,0,0
15,wc2022,2,male,ger,20,3,A,weak_landing,1,2,0,0
16,wc2022,2,male,ger,20,3,F,none,0,0,0,0
17,wc2022,2,male,ger,20,3,Lz,step_out,0,0,0,0
18,wc2022,2,male,ger,20,3,Lo,none,0,0,0,0
19,wc2022,2,male,ger,20,3,S,none,2,2,0,0
20,wc2022,2,male,ger,20,2,A,none,0,0,0,0
21,wc2022,3,male,ukr,19,3,A,twofoot_landing,0,1,0,0
22,wc2022,3,male,ukr,19,2,A,none,0,0,0,0
23,wc2022,3,male,ukr,19,2,Lz,none,0,0,0,0
24,wc2022,3,male,ukr,19,3,Lo,none,0,0,0,0
25,wc2022,3,male,ukr,19,3,F,none,0,0,0,0
26,wc2022,3,male,ukr,19,2,F,none,0,0,0,0
27,wc2022,3,male,ukr,19,2,T,none,0,0,0,0
28,wc2022,3,male,ukr,19,2,A,none,0,0,0,0
29,wc2022,4,male,gbr,24,3,A,none,0,0,0,0
30,wc2022,4,male,gbr,24,2,A,none,0,0,0,0
31,wc2022,4,male,gbr,24,3,T,none,0,0,0,0
32,wc2022,4,male,gbr,24,3,Lz,none,0,0,0,0
33,wc2022,4,male,gbr,24,3,T,none,0,1,0,0
34,wc2022,4,male,gbr,24,3,Lo,none,0,0,0,0
35,wc2022,4,male,gbr,24,2,T,none,0,0,0,0
36,wc2022,4,male,gbr,24,1,Lo,twofoot_landing,0,0,0,0
37,wc2022,4,male,gbr,24,3,F,fall,0,0,0,0
38,wc2022,4,male,gbr,24,3,Lz,weak_landing,0,0,0,0
39,wc2022,4,male,gbr,24,3,S,weak_landing,1,1,0,0
40,wc2022,5,male,est,20,4,S,weak_landing,0,0,0,0
41,wc2022,5,male,est,20,3,F,none,0,0,0,0
42,wc2022,5,male,est,20,3,T,none,0,0,0,0
43,wc2022,5,male,est,20,3,Lo,none,0,0,0,0
44,wc2022,5,male,est,20,3,A,none,0,0,0,0
45,wc2022,5,male,est,20,3,S,none,0,0,0,0
46,wc2022,5,male,est,20,3,A,none,0,0,0,0
47,wc2022,5,male,est,20,2,T,none,0,0,0,0
48,wc2022,5,male,est,20,3,Lz,none,0,0,0,1
49,wc2022,5,male,est,20,3,F,weak_landing,0,0,0,0
50,wc2022,6,male,swe,22,3,A,none,0,0,0,0
51,wc2022,6,male,swe,22,2,T,none,0,0,0,0
52,wc2022,6,male,swe,22,3,Lz,none,0,0,0,0
53,wc2022,6,male,swe,22,3,T,none,0,0,0,0
54,wc2022,6,male,swe,22,1,A,none,0,0,0,0
55,wc2022,6,male,swe,22,3,Lo,fall,0,0,0,0
56,wc2022,6,male,swe,22,2,A,none,0,0,0,0
57,wc2022,6,male,swe,22,3,S,none,0,0,0,0
58,wc2022,6,male,swe,22,3,F,none,0,0,0,0
59,wc2022,6,male,swe,22,2,Lz,none,0,0,0,0
60,wc2022,7,male,can,23,4,S,none,0,1,0,0
61,wc2022,7,male,can,23,3,F,none,0,0,0,2
62,wc2022,7,male,can,23,3,T,none,0,0,0,0
63,wc2022,7,male,can,23,3,A,step_out,1,1,0,0
64,wc2022,7,male,can,23,3,Lo,none,0,0,0,0
65,wc2022,7,male,can,23,4,S,weak_landing,1,1,0,0
66,wc2022,7,male,can,23,3,S,none,1,1,0,0
67,wc2022,7,male,can,23,3,Lz,none,0,0,0,0
68,wc2022,7,male,can,23,2,T,none,0,0,0,0
69,wc2022,7,male,can,23,3,F,none,0,0,0,0
70,wc2022,8,male,aut,30,3,A,weak_landing,0,0,0,0
71,wc2022,8,male,aut,30,2,T,weak_landing,0,0,0,0
72,wc2022,8,male,aut,30,3,A,none,0,0,0,0
73,wc2022,8,male,aut,30,3,F,none,0,0,0,2
74,wc2022,8,male,aut,30,2,A,none,0,0,0,0
75,wc2022,8,male,aut,30,3,Lz,none,0,0,0,0
76,wc2022,8,male,aut,30,3,T,weak_landing,0,0,0,0
77,wc2022,8,male,aut,30,3,Lo,none,0,0,0,0
78,wc2022,8,male,aut,30,3,S,none,0,0,0,0
79,wc2022,8,male,aut,30,3,Lz,none,0,0,0,0
80,wc2022,9,male,fra,25,3,T,none,0,0,0,0
81,wc2022,9,male,fra,25,4,T,fall,3,3,0,0
82,wc2022,9,male,fra,25,3,A,step_out,1,1,0,0
83,wc2022,9,male,fra,25,3,Lo,none,0,0,0,0
84,wc2022,9,male,fra,25,3,A,none,0,0,0,0
85,wc2022,9,male,fra,25,2,T,none,0,0,0,0
86,wc2022,9,male,fra,25,3,Lz,none,0,1,0,0
87,wc2022,9,male,fra,25,3,F,none,0,0,0,1
88,wc2022,9,male,fra,25,3,S,none,0,0,0,0
89,wc2022,10,male,aze,21,4,T,none,0,0,0,0
90,wc2022,10,male,aze,21,4,T,fall,0,0,0,0
